enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,8.083696e-29,1.319787e-27,1.095423e-26,4.064944e-26,5.345138e-26
1.324193e+02,8.083696e-29,1.319787e-27,1.095423e-26,4.064944e-26,5.345138e-26
1.753487e+02,4.400020e-20,7.183707e-19,5.962476e-18,2.212582e-17,2.909401e-17
2.321954e+02,8.083696e-29,1.319787e-27,1.095423e-26,4.064944e-26,5.345138e-26
3.074715e+02,9.846121e-20,1.607530e-18,1.334250e-17,4.951192e-17,6.510496e-17
4.071516e+02,8.071553e-19,1.317805e-17,1.093778e-16,4.058838e-16,5.337109e-16
5.391472e+02,1.550186e-18,2.530916e-17,2.100660e-16,7.795222e-16,1.025021e-15
7.139348e+02,3.495885e-18,5.707567e-17,4.737281e-16,1.757931e-15,2.311565e-15
9.453873e+02,3.323648e-18,5.426364e-17,4.503883e-16,1.671320e-15,2.197678e-15
1.251875e+03,3.031373e-18,4.949180e-17,4.107819e-16,1.524347e-15,2.004418e-15
1.657724e+03,4.245764e-18,6.931860e-17,5.753444e-16,2.135013e-15,2.807403e-15
2.195146e+03,3.777260e-18,6.166955e-17,5.118572e-16,1.899422e-15,2.497617e-15
2.906797e+03,6.536026e-18,1.067106e-16,8.856982e-16,3.286687e-15,4.321780e-15
3.849159e+03,8.464200e-18,1.381910e-16,1.146986e-15,4.256284e-15,5.596737e-15
5.097029e+03,1.008155e-17,1.645967e-16,1.366153e-15,5.069580e-15,6.666168e-15
6.749449e+03,1.861460e-17,3.039119e-16,2.522469e-15,9.360486e-15,1.230843e-14
8.937571e+03,2.429850e-17,3.967102e-16,3.292694e-15,1.221867e-14,1.606676e-14
1.183507e+04,3.013181e-17,4.919479e-16,4.083167e-15,1.515199e-14,1.992389e-14
1.567191e+04,3.591729e-17,5.864048e-16,4.867160e-15,1.806127e-14,2.374939e-14
2.075263e+04,4.810052e-17,7.853147e-16,6.518112e-15,2.418769e-14,3.180524e-14
2.748048e+04,7.811953e-17,1.275421e-15,1.058599e-14,3.928296e-14,5.165454e-14
3.638946e+04,1.072347e-16,1.750771e-15,1.453140e-14,5.392374e-14,7.090622e-14
4.818666e+04,1.434537e-16,2.342101e-15,1.943944e-14,7.213671e-14,9.485509e-14
6.380843e+04,1.947432e-16,3.179481e-15,2.638969e-14,9.792802e-14,1.287690e-13
8.449466e+04,2.129885e-16,3.477364e-15,2.886212e-14,1.071028e-13,1.408332e-13
1.118872e+05,2.654353e-16,4.333638e-15,3.596919e-14,1.334760e-13,1.755123e-13
1.481603e+05,3.329692e-16,5.436232e-15,4.512072e-14,1.674359e-13,2.201674e-13
1.961927e+05,4.618807e-16,7.540909e-15,6.258954e-14,2.322600e-13,3.054068e-13
2.597970e+05,5.059148e-16,8.259834e-15,6.855662e-14,2.544029e-13,3.345233e-13
3.440213e+05,6.204289e-16,1.012945e-14,8.407444e-14,3.119871e-13,4.102428e-13
4.555506e+05,5.574112e-16,9.100591e-15,7.553491e-14,2.802982e-13,3.685739e-13
6.032368e+05,4.013247e-16,6.552239e-15,5.438359e-14,2.018090e-13,2.653657e-13
7.988018e+05,2.257680e-16,3.686009e-15,3.059387e-14,1.135291e-13,1.492834e-13
1.057768e+06,6.856979e-17,1.119507e-15,9.291906e-15,3.448081e-14,4.534003e-14
1.400688e+06,5.380904e-17,8.785149e-16,7.291674e-15,2.705826e-14,3.557985e-14
1.854781e+06,8.260606e-17,1.348670e-15,1.119396e-14,4.153905e-14,5.462115e-14
2.456088e+06,7.849813e-17,1.281602e-15,1.063730e-14,3.947335e-14,5.190489e-14
3.252334e+06,9.129848e-17,1.490587e-15,1.237188e-14,4.591009e-14,6.036879e-14
4.306717e+06,8.390488e-17,1.369876e-15,1.136997e-14,4.219217e-14,5.547996e-14
5.702924e+06,1.614243e-16,2.635499e-15,2.187464e-14,8.117338e-14,1.067377e-13
7.551770e+06,2.652397e-16,4.330444e-15,3.594268e-14,1.333777e-13,1.753830e-13
1.000000e+07,3.164847e-16,5.167096e-15,4.288690e-14,1.591466e-13,2.092674e-13
1.324193e+07,5.244458e-16,8.562381e-15,7.106776e-14,2.637213e-13,3.467764e-13
1.753487e+07,5.734897e-16,9.363097e-15,7.771371e-14,2.883834e-13,3.792054e-13
2.321954e+07,7.903162e-16,1.290312e-14,1.070959e-13,3.974161e-13,5.225764e-13
3.074715e+07,9.564572e-16,1.561563e-14,1.296097e-13,4.809613e-13,6.324329e-13
4.071516e+07,1.696978e-15,2.770576e-14,2.299578e-13,8.533375e-13,1.122083e-12
5.391472e+07,2.606744e-15,4.255908e-14,3.532404e-13,1.310820e-12,1.723643e-12
7.139348e+07,4.069965e-15,6.644841e-14,5.515218e-13,2.046611e-12,2.691161e-12
9.453873e+07,4.353267e-15,7.107374e-14,5.899121e-13,2.189071e-12,2.878487e-12
1.251875e+08,4.693338e-15,7.662593e-14,6.359952e-13,2.360079e-12,3.103350e-12
1.657724e+08,3.435380e-15,5.608784e-14,4.655291e-13,1.727505e-12,2.271558e-12
