enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,1.299119e-29,2.121011e-28,1.760439e-27,6.532714e-27,8.590095e-27
1.324193e+02,1.299119e-29,2.121011e-28,1.760439e-27,6.532714e-27,8.590095e-27
1.753487e+02,1.195945e-23,1.952563e-22,1.620628e-21,6.013895e-21,7.907882e-21
2.321954e+02,1.299119e-29,2.121011e-28,1.760439e-27,6.532714e-27,8.590095e-27
3.074715e+02,4.194144e-23,6.847582e-22,5.683493e-21,2.109055e-20,2.773271e-20
4.071516e+02,4.304237e-22,7.027325e-21,5.832680e-20,2.164416e-19,2.846067e-19
5.391472e+02,1.034865e-21,1.689576e-20,1.402348e-19,5.203894e-19,6.842783e-19
7.139348e+02,2.921582e-21,4.769930e-20,3.959042e-19,1.469138e-18,1.931822e-18
9.453873e+02,3.477259e-21,5.677157e-20,4.712040e-19,1.748564e-18,2.299249e-18
1.251875e+03,3.970290e-21,6.482106e-20,5.380148e-19,1.996489e-18,2.625253e-18
1.657724e+03,6.961451e-21,1.136563e-19,9.433476e-19,3.500615e-18,4.603082e-18
2.195146e+03,7.753213e-21,1.265831e-19,1.050639e-18,3.898758e-18,5.126614e-18
2.906797e+03,1.679498e-20,2.742038e-19,2.275892e-18,8.445478e-18,1.110526e-17
3.849159e+03,2.722781e-20,4.445357e-19,3.689646e-18,1.369170e-17,1.800370e-17
5.097029e+03,4.059898e-20,6.628405e-19,5.501576e-18,2.041549e-17,2.684504e-17
6.749449e+03,9.384314e-20,1.532133e-18,1.271670e-17,4.718969e-17,6.205138e-17
8.937571e+03,1.533519e-19,2.503704e-18,2.078075e-17,7.711410e-17,1.014000e-16
1.183507e+04,2.380652e-19,3.886779e-18,3.226026e-17,1.197128e-16,1.574145e-16
1.567191e+04,3.552510e-19,5.800016e-18,4.814013e-17,1.786405e-16,2.349006e-16
2.075263e+04,5.955833e-19,9.723808e-18,8.070761e-17,2.994933e-16,3.938142e-16
2.748048e+04,1.210914e-18,1.977002e-17,1.640912e-16,6.089167e-16,8.006859e-16
3.638946e+04,2.080894e-18,3.397378e-17,2.819824e-16,1.046393e-15,1.375938e-15
4.818666e+04,3.484876e-18,5.689593e-17,4.722362e-16,1.752395e-15,2.304285e-15
6.380843e+04,5.922416e-18,9.669250e-17,8.025478e-16,2.978129e-15,3.916046e-15
8.449466e+04,8.108747e-18,1.323877e-16,1.098818e-15,4.077541e-15,5.361702e-15
1.118872e+05,1.265078e-17,2.065433e-16,1.714309e-15,6.361534e-15,8.365004e-15
1.481603e+05,1.986660e-17,3.243526e-16,2.692127e-15,9.990062e-15,1.313628e-14
1.961927e+05,3.449930e-17,5.632538e-16,4.675007e-15,1.734822e-14,2.281178e-14
2.597970e+05,4.730629e-17,7.723476e-16,6.410485e-15,2.378830e-14,3.128008e-14
3.440213e+05,7.262638e-17,1.185737e-15,9.841616e-15,3.652070e-14,4.802234e-14
4.555506e+05,8.129566e-17,1.327276e-15,1.101639e-14,4.088010e-14,5.375468e-14
6.032368e+05,7.315055e-17,1.194295e-15,9.912646e-15,3.678428e-14,4.836894e-14
7.988018e+05,4.812807e-17,7.857644e-16,6.521844e-15,2.420154e-14,3.182346e-14
1.057768e+06,1.305273e-17,2.131058e-16,1.768778e-15,6.563658e-15,8.630784e-15
